Id,Category
ISIC_0000002.jpg,melanoma
ISIC_0000026.jpg,melanoma
ISIC_0000029.jpg,melanoma
ISIC_0000030.jpg,melanoma
ISIC_0000031.jpg,melanoma
ISIC_0000036.jpg,melanoma
ISIC_0000040.jpg,melanoma
ISIC_0000043.jpg,melanoma
ISIC_0000049.jpg,melanoma
ISIC_0000054.jpg,melanoma
ISIC_0000056.jpg,melanoma
ISIC_0000074.jpg,melanoma
ISIC_0000078.jpg,melanoma
ISIC_0000139.jpg,melanoma
ISIC_0000140.jpg,melanoma
ISIC_0000141.jpg,melanoma
ISIC_0000142.jpg,melanoma
ISIC_0000143.jpg,melanoma
ISIC_0000145.jpg,melanoma
ISIC_0000146.jpg,melanoma
ISIC_0000147.jpg,melanoma
ISIC_0000148.jpg,melanoma
ISIC_0000149.jpg,melanoma
ISIC_0000150.jpg,melanoma
ISIC_0000152.jpg,melanoma
ISIC_0000153.jpg,melanoma
ISIC_0000154.jpg,melanoma
ISIC_0000155.jpg,melanoma
ISIC_0000157.jpg,melanoma
ISIC_0000159.jpg,melanoma
ISIC_0000160.jpg,melanoma
ISIC_0000161.jpg,melanoma
ISIC_0000163.jpg,melanoma
ISIC_0000164.jpg,melanoma
ISIC_0000165.jpg,melanoma
ISIC_0000166.jpg,melanoma
ISIC_0000171.jpg,melanoma
ISIC_0000172.jpg,melanoma
ISIC_0000176.jpg,melanoma
ISIC_0000277.jpg,melanoma
ISIC_0000278.jpg,melanoma
ISIC_0000282.jpg,melanoma
ISIC_0000283.jpg,melanoma
ISIC_0000288.jpg,melanoma
ISIC_0000289.jpg,melanoma
ISIC_0000290.jpg,melanoma
ISIC_0000292.jpg,melanoma
ISIC_0000293.jpg,melanoma
ISIC_0000294.jpg,melanoma
ISIC_0000298.jpg,melanoma
ISIC_0000299.jpg,melanoma
ISIC_0000301.jpg,melanoma
ISIC_0000302.jpg,melanoma
ISIC_0000303.jpg,melanoma
ISIC_0000307.jpg,melanoma
ISIC_0000310.jpg,melanoma
ISIC_0000313.jpg,melanoma
ISIC_0000390.jpg,melanoma
ISIC_0000395.jpg,melanoma
ISIC_0000410.jpg,melanoma
ISIC_0000412.jpg,melanoma
ISIC_0000413.jpg,melanoma
ISIC_0000420.jpg,melanoma
ISIC_0000434.jpg,melanoma
ISIC_0000445.jpg,melanoma
ISIC_0000463.jpg,melanoma
ISIC_0000482.jpg,melanoma
ISIC_0000484.jpg,melanoma
ISIC_0000487.jpg,melanoma
ISIC_0000511.jpg,melanoma
ISIC_0000516.jpg,melanoma
ISIC_0000517.jpg,melanoma
ISIC_0000518.jpg,melanoma
ISIC_0000522.jpg,melanoma
ISIC_0000531.jpg,melanoma
ISIC_0000533.jpg,melanoma
